insert into tblSubjectRating values(subjectRating_seq.nextval, '2.8', '진도 따라잡기가 힘들어요.', 360, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.2', '너무 어려워요.', 361, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.9', '진도 따라잡기가 힘들어요.', 362, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.1', '다음 기수 화이팅', 363, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.9', '과정 기간이 짧아서 아쉬웠어요.', 364, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.7', '너무 어려워요.', 365, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.3', '선생님께서 정말 잘 가르치셨습니다.', 366, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.9', '모두 화이팅', 367, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.4', '너무 어려워요.', 368, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.2', '좋은 곳에 취칙할 수 있을거 같아요.', 369, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.7', '프로젝트가 너무 어려웠어요.', 370, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.6', '선생님께서 정말 잘 가르치셨습니다.', 371, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.8', '좋은 사람들이랑 같이 해서 좋았어요.', 372, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.3', '과정 기간이 짧아서 아쉬웠어요.', 373, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.8', '감사합니다.', 374, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.5', '프로젝트가 너무 어려웠어요.', 375, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.2', '프로젝트가 너무 어려웠어요.', 376, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.0', '진도 따라잡기가 힘들어요.', 377, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.4', '프로젝트가 너무 어려웠어요.', 378, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.7', '다음 기수 화이팅', 379, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.8', '좋은 곳에 취칙할 수 있을거 같아요.', 380, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.0', '너무 어려워요.', 381, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.3', '너무 어려워요.', 382, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.7', '좋은 사람들이랑 같이 해서 좋았어요.', 383, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.8', '너무 유익한 수업이었어요.', 384, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.1', '감사합니다.', 385, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.8', '다음 기수 화이팅', 386, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.5', '과정 기간이 짧아서 아쉬웠어요.', 387, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.7', '진도 따라잡기가 힘들어요.', 388, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.4', '모두 화이팅', 389, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.8', '좋은 사람들이랑 같이 해서 좋았어요.', 390, 73);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.9', '다음 기수 화이팅', 391, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.4', '좋은 사람들이랑 같이 해서 좋았어요.', 392, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.3', '감사합니다.', 393, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.5', '진도 따라잡기가 힘들어요.', 394, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.4', '진도 따라잡기가 힘들어요.', 395, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.2', '다음 기수 화이팅', 396, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.9', '감사합니다.', 397, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.8', '다음 기수 화이팅', 398, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.3', '좋은 곳에 취칙할 수 있을거 같아요.', 399, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.9', '진도 따라잡기가 힘들어요.', 400, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.8', '감사합니다.', 401, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.1', '진도 따라잡기가 힘들어요.', 402, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.8', '좋은 사람들이랑 같이 해서 좋았어요.', 403, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.2', '좋은 사람들이랑 같이 해서 좋았어요.', 404, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '5.0', '너무 유익한 수업이었어요.', 405, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.7', '너무 어려워요.', 406, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.6', '감사합니다.', 407, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.5', '과정 기간이 짧아서 아쉬웠어요.', 408, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '4.2', '너무 어려워요.', 409, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.6', '진도 따라잡기가 힘들어요.', 410, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.8', '좋은 사람들이랑 같이 해서 좋았어요.', 411, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.6', '많은걸 배웠습니다.', 412, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.7', '모두 화이팅', 413, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '2.3', '좋은 사람들이랑 같이 해서 좋았어요.', 414, 74);
insert into tblSubjectRating values(subjectRating_seq.nextval, '3.1', '너무 어려워요.', 415, 74);
